Country,Area,Waterbody_Type,Date,Ammonia_mg_L,BOD_mg_L,DO_mg_L,Orthophosphate_mg_L,pH,Temperature_C,Nitrogen_mg_L,Nitrate_mg_L,CCME_Values,CCME_WQI
China,Shanghai,Stream,07-09-2022,0.207,0.6,14.22,,7.14,9.4,1.59,2.03,88.88,Good
Canada,Ontario,River,08-09-2022,0.01,1.14,10.08,0.113,8.18,18.5,0.1,2.17,98.1,Excellent
Canada,Alberta,Lake,04-01-2020,0.004,2.51,9.7,0.004,6.92,25.2,0.1,1.26,95.93,Excellent
China,Beijing,Pond,01-10-2023,0.157,3.05,14.42,0.002,7.26,10.1,2.35,1.33,88.35,Good
Ireland,Limerick,Lake,18-07-2023,0.131,1.32,13.07,0.012,6.6,17.0,0.09,0.14,91.8,Good
Canada,Alberta,Lake,21-12-2021,0.043,0.87,12.23,0.065,7.21,17.7,0.08,0.06,96.78,Excellent
England,Birmingham,River,12-08-2022,0.037,0.97,14.18,0.048,6.66,6.4,0.13,1.91,96.94,Excellent
China,Shanghai,Pond,29-12-2023,0.028,2.75,9.78,0.006,7.81,10.8,0.98,0.51,94.61,Good
USA,Pennsylvania,Lake,11-04-2020,0.145,0.29,10.9,0.024,7.18,20.6,1.79,0.87,92.4,Good
England,Leeds,Creek,10-05-2023,,4.28,12.08,0.021,6.46,0.0,1.0,1.92,87.1,Good
China,Guangdong,River,06-08-2023,,1.89,14.85,0.155,7.53,3.5,0.48,0.54,97.36,Excellent
Ireland,Galway,Reservoir,29-05-2023,0.017,1.88,9.87,0.077,6.99,21.7,0.12,0.67,96.49,Excellent
China,Shanghai,Stream,03-08-2022,0.138,2.0,10.72,0.014,7.41,26.2,0.22,0.72,90.6,Good
USA,Florida,Stream,11-09-2022,0.03,1.07,10.17,0.062,6.89,13.5,0.35,0.05,97.19,Excellent
Ireland,Dublin,Stream,15-02-2022,0.018,0.69,11.15,0.04,7.87,16.0,0.26,0.11,98.22,Excellent
China,Jiangsu,Stream,02-02-2022,0.113,0.33,13.46,0.061,7.49,9.8,0.04,0.5,93.92,Good
USA,Pennsylvania,Reservoir,03-10-2022,0.362,2.09,10.95,0.063,7.22,15.5,0.81,3.59,79.31,Fair
USA,California,Stream,15-09-2021,0.08,2.0,14.57,0.02,7.47,16.6,1.87,0.47,93.48,Good
Ireland,Limerick,River,20-12-2021,0.03,1.58,10.41,0.102,7.17,19.0,0.27,0.1,96.5,Excellent
China,Guangdong,Canal,03-04-2022,0.219,17.51,11.61,0.016,6.53,11.3,0.96,0.73,67.14,Fair
Canada,British Columbia,Lake,02-07-2020,0.077,2.04,10.99,0.07,8.59,4.0,0.13,0.83,88.14,Good
China,Beijing,Pond,05-09-2023,0.093,2.66,12.91,0.011,7.83,19.4,0.89,2.69,92.02,Good
England,Manchester,Creek,27-10-2020,0.377,,14.01,0.001,7.06,19.2,0.87,2.36,78.03,Fair
USA,California,Lake,16-12-2021,0.04,0.91,11.52,0.064,6.52,21.6,0.75,0.26,96.86,Excellent
China,Guangdong,Stream,09-11-2021,0.041,,14.62,,8.2,5.8,0.23,1.51,97.89,Excellent
Canada,Quebec,Canal,19-08-2022,0.084,0.12,11.91,0.025,8.06,0.0,,3.4,95.66,Excellent
England,Leeds,Canal,10-05-2021,0.33,1.55,14.2,0.014,8.33,7.8,2.36,1.72,81.56,Good
USA,Texas,River,14-02-2022,0.139,,10.13,0.021,7.37,15.2,,1.55,92.01,Good
England,Leeds,River,27-04-2023,0.108,5.64,10.83,0.019,6.74,19.2,0.46,0.32,87.53,Good
Canada,Alberta,River,30-01-2022,0.16,1.54,11.03,0.127,7.37,21.3,0.11,2.7,90.09,Good
Ireland,Limerick,Pond,10-11-2020,0.067,1.31,13.28,0.268,6.85,12.0,0.36,0.46,95.03,Excellent
USA,California,Lake,21-06-2021,0.081,0.18,10.1,0.064,7.25,18.7,0.52,3.24,95.7,Excellent
USA,Texas,Reservoir,17-08-2021,0.028,0.58,13.16,0.019,6.7,0.0,3.86,0.67,97.88,Excellent
Ireland,Galway,River,09-09-2023,0.007,1.58,12.43,0.107,6.32,16.5,0.57,0.61,91.76,Good
USA,Florida,Reservoir,23-04-2023,0.08,1.28,12.65,0.075,6.73,12.2,0.37,2.9,94.42,Good
USA,Pennsylvania,Pond,15-03-2020,,4.06,13.32,0.057,7.71,21.0,0.15,2.54,91.2,Good
China,Shanghai,Creek,12-10-2022,0.209,2.48,12.08,0.009,6.53,18.5,1.34,4.59,86.43,Good
England,Leeds,Lake,01-12-2022,0.138,0.83,9.98,0.069,7.42,24.5,0.15,0.95,91.99,Good
China,Jiangsu,Lake,26-09-2021,0.077,1.27,12.79,0.005,7.37,26.9,0.34,1.06,94.54,Good
England,London,Stream,15-03-2021,0.113,0.65,14.16,0.018,6.78,4.2,0.81,2.84,93.54,Good
USA,Texas,Canal,31-07-2021,0.024,3.17,12.54,0.05,6.35,11.7,0.83,2.44,89.11,Good
Canada,Quebec,Canal,06-10-2023,0.023,3.45,15.0,0.094,6.02,15.9,0.36,2.04,87.15,Good
USA,California,River,03-04-2023,0.082,3.21,9.53,0.048,7.76,25.0,0.98,1.75,90.72,Good
USA,Florida,Lake,02-10-2021,0.191,7.06,10.61,0.045,7.56,18.7,0.01,2.89,81.65,Good
Canada,British Columbia,Creek,07-04-2021,0.039,9.49,11.16,0.002,6.87,24.3,0.17,3.14,86.21,Good
USA,New York,Pond,23-07-2021,0.057,1.92,11.12,0.034,7.78,14.1,2.38,0.92,94.74,Good
USA,New York,Creek,05-03-2023,0.036,0.24,9.07,0.067,7.16,35.0,0.16,0.21,95.59,Excellent
England,Birmingham,Reservoir,26-04-2022,0.01,0.78,13.47,0.002,7.59,11.5,0.71,1.82,98.51,Excellent
England,Manchester,Creek,22-06-2023,0.045,0.65,8.13,0.065,7.56,19.3,1.01,0.04,92.25,Good
England,Manchester,Reservoir,23-07-2020,0.023,5.11,6.71,0.047,7.21,22.2,0.31,3.7,84.23,Good
China,Jiangsu,Lake,24-10-2020,0.108,1.1,10.17,0.009,7.17,19.0,0.4,0.17,93.22,Good
Ireland,Cork,Stream,01-11-2021,0.007,1.49,14.46,0.02,7.2,15.2,0.36,1.83,97.8,Excellent
England,London,River,05-12-2020,0.129,0.67,7.93,0.002,7.91,28.2,3.57,1.54,87.5,Good
Canada,Quebec,River,22-09-2020,0.319,0.63,13.56,0.001,7.43,9.1,0.38,0.17,83.28,Good
Canada,British Columbia,River,01-02-2022,0.006,2.07,12.24,0.048,7.52,10.4,0.21,0.3,97.09,Excellent
England,Leeds,Stream,28-07-2020,0.023,5.03,15.0,0.027,7.83,4.0,0.25,1.32,92.58,Good
Canada,British Columbia,River,12-09-2023,0.08,3.47,9.03,0.091,7.58,18.7,0.76,3.06,89.25,Good
Ireland,Dublin,Canal,21-06-2021,0.004,2.44,11.15,0.17,7.21,21.2,1.8,3.36,96.76,Excellent
USA,Pennsylvania,Canal,12-07-2023,0.212,1.03,11.3,0.098,7.93,7.2,0.27,1.17,88.1,Good
Canada,Ontario,Reservoir,22-05-2020,0.115,5.86,12.17,0.069,8.27,12.2,2.32,0.82,86.9,Good
England,Leeds,Stream,29-03-2020,0.145,0.4,12.9,0.119,7.04,0.0,1.35,0.07,92.23,Good
China,Beijing,Canal,03-01-2021,0.074,1.55,11.98,0.062,7.58,1.9,5.0,1.57,94.38,Good
Canada,Quebec,Stream,15-12-2022,0.104,1.69,11.66,0.022,6.98,16.9,0.48,0.81,92.69,Good
China,Guangdong,Canal,18-07-2021,0.008,0.66,12.51,0.074,7.07,10.3,0.08,0.48,98.8,Excellent
England,London,Creek,14-02-2023,0.054,3.4,14.29,0.084,6.86,15.5,0.62,0.14,93.08,Good
England,Manchester,Stream,18-06-2020,0.093,0.41,14.11,0.07,8.48,4.1,1.77,1.12,94.84,Good
Ireland,Cork,Stream,11-03-2022,0.011,4.71,10.73,0.013,7.29,19.7,1.64,0.99,93.55,Good
China,Guangdong,Canal,03-02-2023,0.045,0.5,13.58,0.009,7.43,6.7,0.04,0.48,97.12,Excellent
Ireland,Galway,Reservoir,14-11-2020,0.075,2.38,13.63,0.037,7.18,10.4,1.22,1.44,93.29,Good
USA,Texas,Lake,15-06-2021,0.011,0.33,14.23,0.036,6.97,10.6,0.17,7.73,99.02,Excellent
China,Shanghai,Reservoir,04-01-2023,0.114,0.35,11.83,,7.28,14.9,1.32,1.24,93.84,Good
China,Jiangsu,Lake,24-05-2020,0.033,0.32,9.56,0.079,6.97,28.6,0.78,6.56,96.82,Excellent
Canada,Alberta,Lake,04-08-2022,0.088,0.42,13.96,0.047,6.8,32.5,0.19,0.14,95.05,Excellent
USA,Florida,Reservoir,26-03-2020,0.092,1.87,15.0,0.056,6.65,11.5,,1.97,93.04,Good
Canada,Ontario,Canal,13-08-2020,0.07,2.09,15.0,0.037,7.41,0.0,0.02,2.43,93.91,Good
China,Beijing,Pond,08-11-2020,0.048,0.11,15.0,,7.52,0.0,2.23,2.84,97.44,Excellent
England,Leeds,Pond,17-04-2023,0.029,0.26,15.0,0.016,6.12,6.3,0.45,1.41,91.34,Good
USA,Florida,Canal,05-09-2020,0.281,8.99,10.05,0.01,6.79,32.6,0.74,0.53,74.73,Fair
China,Shanghai,Pond,21-03-2023,0.052,3.09,10.03,0.003,7.17,19.8,0.41,1.14,93.53,Good
England,London,Stream,23-06-2020,0.07,2.55,10.02,0.086,7.35,21.1,0.2,1.08,93.33,Good
USA,Florida,Stream,08-07-2020,0.116,3.57,11.16,0.065,7.53,9.6,0.06,1.96,89.72,Good
China,Beijing,Canal,27-07-2020,0.168,0.39,14.17,0.132,6.0,9.8,0.15,10.0,83.6,Good
China,Shanghai,Pond,07-10-2021,0.013,0.37,9.95,0.061,7.06,11.0,0.69,1.24,98.77,Excellent
England,Manchester,Reservoir,22-09-2022,,3.71,11.96,0.022,6.8,8.8,1.01,3.9,88.95,Good
England,Manchester,Reservoir,09-05-2020,0.172,6.8,9.62,0.048,7.78,16.9,0.06,0.78,81.94,Good
USA,Texas,Reservoir,09-06-2020,0.09,0.97,10.53,0.03,6.67,29.0,0.22,1.93,94.28,Good
Ireland,Dublin,Lake,22-05-2020,0.34,0.74,10.48,0.018,6.52,15.6,0.33,1.84,82.09,Good
China,Beijing,River,25-02-2023,0.017,1.22,13.12,0.004,7.01,8.6,0.05,0.13,97.63,Excellent
USA,Florida,River,01-12-2021,0.194,5.67,11.44,0.015,6.66,16.1,0.18,0.07,83.22,Good
USA,Texas,Lake,06-10-2021,0.054,0.32,8.92,0.045,7.32,5.6,0.72,1.22,94.19,Good
USA,New York,Canal,17-04-2023,0.036,1.28,13.94,0.01,7.46,15.3,0.0,0.58,96.57,Excellent
USA,Florida,Reservoir,11-07-2022,0.113,0.53,12.69,0.047,7.65,31.3,0.33,0.37,93.66,Good
USA,Pennsylvania,Reservoir,28-04-2022,,0.16,11.62,0.031,7.29,20.2,0.99,2.44,84.52,Good
USA,Pennsylvania,Pond,16-07-2021,0.017,0.22,12.85,0.058,7.02,8.2,0.75,0.27,98.9,Excellent
USA,New York,Stream,23-07-2020,0.002,4.09,11.9,0.007,7.6,35.0,0.15,0.1,94.78,Good
Ireland,Limerick,Creek,11-03-2021,0.146,1.05,13.62,0.075,6.56,20.0,0.24,0.02,91.36,Good
USA,California,Lake,02-08-2020,,1.59,10.61,0.062,7.39,24.1,0.65,0.65,96.92,Excellent
Ireland,Galway,Canal,09-03-2022,0.058,0.82,14.01,0.062,7.48,6.9,0.86,2.22,96.07,Excellent
Ireland,Galway,Stream,13-09-2020,0.025,6.46,10.75,0.088,7.9,8.3,0.78,0.28,90.69,Good
Canada,Alberta,Reservoir,16-09-2023,0.088,0.58,11.73,0.058,7.33,0.0,0.51,4.26,94.87,Good
England,Birmingham,Canal,21-04-2020,0.001,1.29,12.04,0.045,6.86,19.3,1.36,1.15,98.31,Excellent
England,Birmingham,River,31-03-2021,0.062,1.41,13.72,0.008,7.4,15.5,1.1,2.6,95.13,Excellent
Canada,Alberta,Reservoir,12-06-2021,0.03,1.74,10.2,0.129,6.94,27.1,0.95,3.16,96.34,Excellent
China,Jiangsu,River,22-05-2023,0.226,0.12,11.33,0.088,7.42,13.2,1.15,0.98,88.56,Good
Canada,Quebec,Creek,06-08-2020,0.094,0.61,10.76,0.003,6.93,0.9,0.86,1.08,94.56,Good
Canada,Alberta,Pond,13-06-2023,0.023,2.19,9.36,0.001,7.39,20.1,0.68,0.75,94.53,Good
Ireland,Dublin,Lake,14-07-2023,0.155,2.08,13.03,0.02,7.03,17.7,2.54,0.38,89.64,Good
England,Birmingham,River,09-01-2020,0.016,2.97,12.91,0.096,7.26,11.8,0.41,1.53,95.49,Excellent
England,London,Lake,09-12-2020,0.158,6.33,13.19,0.1,6.41,0.3,0.5,0.96,78.69,Fair
England,Leeds,Reservoir,23-04-2021,0.105,1.87,15.0,0.057,6.97,24.8,0.47,0.52,92.42,Good
USA,Pennsylvania,River,13-12-2021,0.103,0.64,11.75,0.035,6.29,15.0,0.02,1.95,88.0,Good
England,Leeds,Lake,28-06-2020,0.042,2.25,11.94,0.042,6.73,7.9,0.23,0.1,95.07,Excellent
USA,California,River,29-12-2022,0.06,2.77,13.65,0.014,8.53,3.3,0.75,0.19,88.39,Good
China,Jiangsu,Pond,11-11-2021,0.02,0.96,10.27,0.003,7.06,27.5,2.49,1.95,97.8,Excellent
Ireland,Limerick,Canal,12-07-2020,0.004,0.46,11.74,0.005,7.34,5.8,0.09,1.65,99.21,Excellent
Canada,British Columbia,Lake,22-03-2022,0.014,0.84,9.09,0.044,7.9,30.7,2.16,2.98,95.99,Excellent
USA,New York,Reservoir,13-02-2020,0.073,,11.54,0.102,7.62,31.2,0.56,0.07,84.19,Good
USA,Florida,Stream,18-08-2021,0.171,1.37,11.09,0.072,6.7,21.3,0.32,0.73,89.74,Good
China,Jiangsu,Stream,12-05-2023,0.064,3.96,14.07,0.112,6.65,26.6,0.18,3.03,91.85,Good
Ireland,Limerick,Canal,25-07-2023,0.121,0.53,14.08,0.095,7.7,9.6,1.2,1.25,93.3,Good
China,Guangdong,Creek,31-05-2021,0.031,0.49,13.72,,7.29,6.7,0.15,0.53,97.84,Excellent
China,Beijing,Stream,25-01-2020,0.083,2.42,11.34,0.004,7.27,16.8,0.69,0.9,92.8,Good
Canada,Alberta,Canal,06-08-2020,0.163,,11.07,0.123,8.05,12.4,1.01,1.5,86.23,Good
USA,California,Stream,17-08-2022,0.115,4.43,14.3,,6.8,6.2,0.22,4.17,88.73,Good
USA,California,Stream,22-09-2022,0.175,0.22,14.71,0.021,7.33,18.2,1.85,0.28,90.99,Good
Canada,Alberta,Reservoir,21-03-2023,0.085,2.04,10.99,0.008,7.16,10.2,0.39,0.1,93.22,Good
Ireland,Cork,Canal,17-02-2021,0.038,0.2,12.54,0.0,7.64,4.9,1.13,0.26,97.84,Excellent
USA,New York,Creek,30-07-2020,,3.11,11.84,0.034,7.75,18.3,0.63,1.66,93.09,Good
USA,California,Stream,06-08-2020,0.214,1.92,12.1,0.062,7.61,23.8,2.12,2.08,86.89,Good
China,Jiangsu,Canal,16-04-2020,0.038,0.17,10.09,0.084,7.52,18.4,0.02,0.24,97.89,Excellent
USA,Florida,Creek,18-02-2020,0.015,2.61,13.76,0.026,7.45,10.2,0.1,0.0,95.97,Excellent
Canada,Ontario,Reservoir,09-08-2021,0.151,1.77,8.94,0.003,7.0,34.1,,0.56,87.56,Good
Ireland,Dublin,Canal,31-12-2021,0.176,5.77,13.0,0.005,7.12,12.5,0.52,1.57,83.97,Good
Ireland,Limerick,Stream,26-07-2021,,0.63,12.6,0.191,8.04,22.0,0.84,1.61,98.72,Excellent
Canada,Quebec,Lake,25-09-2023,0.298,0.98,14.15,0.024,7.12,12.5,0.07,0.55,83.89,Good
China,Guangdong,Pond,02-03-2023,0.028,2.02,11.42,0.009,6.71,22.3,0.05,2.62,96.08,Excellent
England,Birmingham,Reservoir,27-11-2020,0.179,3.63,14.37,0.007,8.04,6.9,1.0,0.52,86.5,Good
Canada,Ontario,Stream,24-10-2023,0.112,0.15,10.41,0.162,6.0,5.7,0.88,1.16,86.73,Good
USA,Texas,Pond,24-04-2021,0.096,1.89,10.06,0.111,7.75,18.2,1.01,2.29,92.82,Good
Ireland,Cork,River,23-04-2020,0.042,2.4,13.68,0.008,6.64,7.7,1.5,0.73,94.91,Good
Ireland,Cork,Stream,07-07-2023,0.014,5.04,11.82,0.022,6.87,12.1,0.8,0.79,93.0,Good
England,Birmingham,Lake,01-03-2022,0.064,0.92,10.09,0.02,7.9,14.2,0.5,4.36,95.64,Excellent
USA,Pennsylvania,Stream,19-08-2023,0.132,1.33,9.29,0.032,6.34,22.4,0.14,3.09,84.15,Good
England,Manchester,River,19-07-2022,0.061,2.8,7.76,0.004,7.35,31.1,0.35,2.48,87.86,Good
Canada,British Columbia,Canal,25-05-2022,0.028,0.32,12.04,0.012,6.66,20.9,2.84,0.28,98.21,Excellent
Canada,British Columbia,Creek,11-10-2022,0.009,1.32,13.28,0.06,8.05,25.0,0.26,0.12,97.91,Excellent
Canada,Quebec,Canal,21-02-2023,0.198,1.13,11.19,0.038,7.67,10.7,0.51,0.32,88.71,Good
Ireland,Limerick,Canal,05-11-2021,,1.03,8.14,0.008,6.92,22.9,2.6,1.41,93.68,Good
Canada,Quebec,Canal,08-09-2022,0.007,1.94,11.05,0.038,7.77,17.0,0.04,0.1,97.25,Excellent
England,Leeds,Pond,08-07-2020,0.07,5.4,9.74,,6.93,24.3,0.62,0.31,89.09,Good
Ireland,Dublin,Lake,14-07-2021,0.024,0.51,9.76,0.039,7.36,18.3,0.21,0.18,97.57,Excellent
China,Shanghai,Canal,11-09-2020,0.025,0.03,11.94,0.158,6.91,14.0,0.55,0.67,98.69,Excellent
England,Leeds,Stream,09-03-2020,0.138,0.48,10.02,0.035,7.65,8.8,,0.44,92.49,Good
England,London,Reservoir,15-01-2022,0.051,2.38,11.75,0.086,6.78,15.2,0.32,0.07,94.5,Good
China,Beijing,Stream,13-04-2021,,3.24,11.7,0.033,6.74,13.3,0.19,2.82,70.96,Fair
Ireland,Limerick,Creek,13-09-2020,0.055,,14.31,0.029,6.45,9.4,1.43,1.69,91.31,Good
USA,California,Stream,06-10-2020,0.014,1.8,12.97,0.089,7.18,20.6,,1.81,97.04,Excellent
Ireland,Dublin,Stream,29-11-2023,0.03,0.84,13.44,0.075,6.85,23.3,1.12,2.67,97.45,Excellent
China,Shanghai,Reservoir,22-06-2021,0.075,,14.55,0.09,6.05,6.4,0.34,2.18,88.01,Good
England,Birmingham,Stream,03-03-2021,0.175,0.47,14.22,0.077,6.67,4.8,1.28,0.95,90.64,Good
China,Jiangsu,River,27-07-2020,0.267,1.77,10.62,0.015,7.77,22.2,2.97,0.72,84.42,Good
Ireland,Galway,Reservoir,22-09-2022,0.125,0.35,9.14,0.114,6.52,10.2,0.22,1.03,91.16,Good
USA,Texas,Creek,01-05-2021,0.062,5.09,15.0,0.203,6.98,0.1,0.28,0.11,90.54,Good
Ireland,Cork,Stream,25-11-2023,0.032,2.68,9.97,0.073,7.82,17.3,0.24,1.22,95.0,Excellent
USA,Pennsylvania,Stream,25-03-2022,0.031,3.44,12.54,0.054,6.99,13.4,0.22,0.18,94.16,Good
China,Shanghai,Reservoir,21-10-2021,0.016,1.29,9.95,0.022,7.69,28.6,0.71,4.2,97.47,Excellent
Canada,Ontario,Reservoir,18-02-2020,0.003,5.85,13.2,,7.15,3.8,0.24,2.13,92.56,Good
China,Shanghai,Stream,19-04-2020,0.035,0.4,13.97,0.0,6.81,0.2,1.55,4.41,97.74,Excellent
USA,California,Pond,13-06-2020,0.053,1.12,10.4,0.025,7.31,8.8,0.52,0.25,95.96,Excellent
USA,California,River,31-10-2021,0.347,1.97,12.67,0.0,7.24,13.7,,0.56,80.2,Good
England,London,Stream,24-05-2020,0.075,0.87,10.25,0.048,7.4,24.0,1.49,1.44,95.17,Excellent
China,Jiangsu,Lake,24-02-2023,0.0,0.82,15.0,0.022,7.96,7.6,0.29,0.16,98.97,Excellent
Ireland,Galway,Canal,30-06-2023,0.082,1.59,9.18,0.002,7.99,16.2,1.18,1.97,91.85,Good
China,Beijing,Lake,28-06-2020,0.033,0.63,12.23,0.146,7.88,16.9,0.3,1.32,97.56,Excellent
Canada,Ontario,River,09-10-2023,0.024,6.01,12.46,0.016,7.02,8.7,0.38,1.04,91.28,Good
China,Shanghai,Pond,30-01-2021,0.072,2.36,9.91,0.092,7.38,7.1,1.55,5.88,93.21,Good
China,Guangdong,Pond,07-02-2022,0.027,1.39,11.1,0.128,7.27,13.8,0.07,0.84,96.93,Excellent
China,Beijing,Canal,25-10-2023,0.149,1.05,13.84,0.04,7.48,7.2,1.34,0.13,91.22,Good
China,Jiangsu,Stream,18-09-2020,,3.12,12.76,0.0,7.39,5.5,2.12,0.99,95.27,Excellent
Canada,Quebec,River,05-05-2020,0.014,0.66,14.02,,7.18,17.5,,2.63,98.46,Excellent
Ireland,Galway,Creek,12-09-2020,,0.41,11.06,0.071,7.48,15.5,0.24,0.99,94.68,Good
England,Leeds,Pond,16-05-2021,0.243,7.52,10.95,0.043,7.96,11.2,1.2,0.03,78.43,Fair
England,Birmingham,Reservoir,08-05-2022,0.004,0.22,10.45,0.048,7.33,20.0,0.03,0.3,99.5,Excellent
USA,Pennsylvania,Lake,15-09-2020,0.002,1.27,11.18,0.015,7.23,8.4,0.16,0.27,98.32,Excellent
USA,Pennsylvania,Creek,05-10-2020,0.122,5.98,10.58,0.004,7.48,20.3,0.79,1.99,86.4,Good
Canada,Ontario,Stream,12-03-2021,0.014,1.46,9.84,0.029,7.03,9.9,,0.93,97.07,Excellent
USA,Pennsylvania,Pond,25-03-2022,0.055,1.0,10.64,0.022,6.86,19.9,0.27,1.38,95.98,Excellent
Ireland,Dublin,Stream,26-02-2022,,5.59,14.07,0.009,7.49,9.7,0.56,0.47,90.6,Good
USA,Texas,Canal,29-02-2020,0.069,1.2,11.77,0.049,7.18,0.0,0.0,0.44,95.05,Excellent
Canada,Quebec,Stream,20-06-2021,,7.35,13.46,0.031,7.47,8.3,1.84,0.58,90.41,Good
USA,New York,Creek,03-05-2021,,7.68,13.82,0.027,7.59,17.2,0.14,0.26,88.08,Good
England,Manchester,Reservoir,05-07-2023,0.307,1.15,13.22,0.139,7.07,23.4,0.91,8.01,83.19,Good
China,Beijing,Stream,05-08-2022,,0.27,11.7,0.039,7.53,20.5,0.15,2.95,99.5,Excellent
England,Birmingham,River,14-05-2021,0.041,2.29,15.0,0.149,7.93,11.6,0.41,0.76,95.09,Excellent
Canada,Quebec,Canal,28-03-2023,0.19,10.94,13.36,0.017,8.02,22.4,0.09,0.17,76.84,Fair
USA,Pennsylvania,Pond,12-04-2021,0.053,,14.95,0.039,7.02,0.0,0.73,1.23,85.97,Good
Canada,British Columbia,Lake,28-12-2022,0.169,2.27,12.83,,7.38,17.6,0.43,0.42,88.73,Good
Canada,Alberta,Canal,19-07-2022,0.17,1.16,10.13,0.021,6.63,20.1,0.24,2.85,90.03,Good
USA,Texas,Stream,18-05-2023,0.043,1.38,15.0,0.04,7.98,8.1,0.12,3.29,96.14,Excellent
Canada,Alberta,Creek,16-06-2021,0.079,0.16,9.42,0.004,6.14,23.0,0.87,2.42,87.58,Good
China,Guangdong,Canal,04-12-2020,0.133,,13.3,0.015,7.33,5.2,0.16,0.7,92.67,Good
Canada,British Columbia,Lake,13-06-2023,0.013,0.64,11.83,0.001,7.0,10.8,0.14,1.93,98.53,Excellent
England,Birmingham,Reservoir,09-09-2021,0.131,0.7,12.41,0.069,7.56,18.1,0.24,3.8,92.55,Good
China,Guangdong,Canal,23-05-2021,0.005,0.74,12.98,,6.66,3.9,0.74,1.34,98.83,Excellent
England,Leeds,Creek,19-08-2020,0.074,1.57,12.29,0.139,7.21,34.4,0.74,1.0,94.32,Good
USA,California,Reservoir,31-03-2021,0.035,0.03,10.95,0.027,6.82,21.6,0.69,1.18,98.22,Excellent
Canada,Ontario,Stream,11-06-2021,0.213,0.0,11.32,0.013,6.53,3.5,0.35,0.03,89.35,Good
USA,Pennsylvania,Pond,30-11-2022,0.095,2.34,11.08,,7.2,19.8,1.43,0.06,92.32,Good
USA,Florida,Creek,20-10-2022,0.002,3.99,12.5,0.004,7.65,17.0,0.18,1.35,94.93,Good
England,London,Canal,14-11-2021,0.241,0.5,14.24,,7.58,19.9,0.43,3.2,87.33,Good
Ireland,Galway,Creek,14-10-2023,0.009,1.1,13.13,0.105,7.78,13.3,0.62,3.54,98.18,Excellent
USA,New York,Pond,07-12-2020,0.295,3.98,10.26,0.006,7.33,16.5,0.22,1.47,80.3,Good
England,Leeds,Creek,16-04-2020,0.037,0.92,14.59,0.055,7.38,15.8,1.09,0.51,97.02,Excellent
Canada,British Columbia,Creek,19-07-2020,0.384,1.15,15.0,0.019,6.97,0.0,0.94,2.13,79.39,Fair
Canada,Ontario,Pond,29-06-2021,0.093,0.6,15.0,0.054,7.11,3.6,0.24,0.62,94.62,Good
England,Manchester,Stream,10-12-2020,0.131,0.45,11.65,0.127,7.34,17.6,,1.1,92.89,Good
USA,New York,Lake,23-03-2022,0.079,3.06,9.08,0.006,8.37,17.7,0.71,0.19,89.93,Good
England,London,Lake,25-10-2020,0.048,0.51,14.57,0.052,7.58,0.0,0.42,1.96,96.94,Excellent
Canada,British Columbia,Creek,31-08-2021,0.006,1.09,12.73,0.103,7.01,25.6,,0.94,98.35,Excellent
USA,Pennsylvania,Canal,14-01-2020,0.358,6.22,11.72,0.042,6.66,6.6,0.59,0.07,74.34,Fair
Canada,British Columbia,Reservoir,09-09-2023,0.055,0.31,13.06,0.021,6.75,11.1,0.08,0.24,96.86,Excellent
China,Jiangsu,Stream,10-04-2021,0.293,3.07,14.25,0.007,6.39,21.5,0.17,1.26,75.98,Fair
England,Manchester,Creek,05-01-2022,0.035,2.01,13.12,0.083,6.66,14.4,0.74,0.72,95.75,Excellent
England,Birmingham,Canal,10-12-2021,0.322,0.58,10.73,0.002,8.14,18.3,0.05,0.66,83.16,Good
USA,Pennsylvania,Pond,26-10-2020,0.019,3.89,14.17,0.023,6.63,0.0,0.54,0.34,94.21,Good
Ireland,Limerick,Reservoir,29-10-2023,0.095,0.63,13.72,0.072,7.3,14.3,0.44,1.47,94.48,Good
USA,California,River,08-09-2022,0.081,0.53,10.43,0.029,7.23,23.5,,1.65,95.28,Excellent
Canada,Alberta,Stream,25-01-2020,0.108,1.34,12.48,0.016,7.51,15.9,0.08,2.26,92.9,Good
Canada,Alberta,Lake,28-12-2021,0.105,0.1,10.36,0.058,7.02,9.9,1.86,3.32,94.63,Good
England,Leeds,Canal,01-06-2022,0.294,0.28,8.93,0.085,6.69,24.4,0.13,4.39,82.27,Good
USA,California,Lake,17-01-2022,0.025,1.27,10.9,0.031,6.45,7.4,0.01,3.15,91.89,Good
China,Guangdong,Pond,24-11-2020,0.059,1.15,13.78,0.005,7.2,5.0,0.05,2.78,95.61,Excellent
Canada,Quebec,River,30-01-2020,0.115,2.18,12.3,0.013,7.88,10.2,0.42,1.28,91.53,Good
China,Beijing,Reservoir,25-03-2022,0.062,0.05,9.09,0.011,7.35,35.0,2.23,1.53,94.6,Good
Canada,Ontario,Pond,06-11-2022,0.02,0.8,15.0,0.003,7.1,1.2,0.81,2.27,98.01,Excellent
Canada,Quebec,Pond,01-06-2021,0.011,0.51,11.59,0.255,7.42,20.6,0.29,0.05,98.8,Excellent
China,Shanghai,Creek,13-08-2022,0.065,4.43,9.91,0.017,7.44,26.5,1.21,1.05,90.99,Good
Canada,Quebec,Canal,14-08-2020,0.029,0.82,11.81,0.035,7.06,15.8,0.07,1.44,97.55,Excellent
